subject_ID,participant_ID,age,gender,REC,LDI
20878.0,7692.0,23.0,Female,0.796875,0.703125
24826.0,6202.0,22.0,Male,0.828125,0.35143849206349204
18465.0,5534.0,19.0,Male,0.90625,0.2720734126984127
17999.0,6705.0,24.0,Female,0.3677218767665347,0.021394831897749378
17958.0,6774.0,16.0,Female,0.859375,0.171875
22011.0,907.0,14.0,Male,0.9685019841269842,0.669890873015873
18448.0,2598.0,10.0,Male,0.7462797619047619,0.546875
18684.0,1945.0,20.0,Female,0.8204405737704918,0.7633928571428571
20870.0,7658.0,21.0,Male,0.9685019841269842,0.10441468253968256
18389.0,1032.0,13.0,Female,0.7762096774193549,0.46439549180327866
21341.0,8001.0,18.0,Female,0.855094726062468,0.30798771121351765
24958.0,8671.0,23.0,Female,0.827116935483871,0.2404233870967742
18535.0,135.0,25.0,Male,0.8125,0.15625
17974.0,6560.0,19.0,Female,0.7600806451612904,0.0660860655737705
18437.0,2488.0,16.0,Female,0.828125,0.35615079365079366
17959.0,6507.0,16.0,Female,0.8984375,0.5546875
25299.0,8646.0,24.0,Female,0.875,0.78125
24875.0,672.0,16.0,Female,0.875,0.234375
24357.0,7667.0,14.0,Female,0.49206349206349204,0.5206869633099142
22805.0,8410.0,25.0,Female,0.765625,0.7112135176651305
20863.0,7566.0,20.0,Female,0.014806980433633002,-0.016393442622950838
22144.0,7687.0,18.0,Female,0.8744959677419355,0.6021505376344085
25656.0,8730.0,18.0,Female,0.9375,0.5726686507936508
22207.0,3793.0,22.0,Female,0.84375,0.40625
17824.0,234.0,13.0,Female,0.5986168032786885,0.21056547619047616
18405.0,1843.0,14.0,Male,0.6081349206349207,0.21453373015873017
22202.0,2148.0,22.0,Male,0.9375,0.34375
27945.0,8738.0,14.0,Male,0.890625,0.6517857142857143
17313.0,171.0,10.0,Male,0.8742315573770492,0.6196209016393442
25265.0,8696.0,23.0,Female,0.7910906298003073,0.3650793650793651
22333.0,8181.0,18.0,Female,0.765625,0.30257936507936506
24865.0,204.0,14.0,Male,0.905241935483871,0.14768145161290325
18006.0,6769.0,22.0,Other,0.875,0.4375
18400.0,6045.0,14.0,Female,0.6328125,-0.1484375
25308.0,8588.0,22.0,Female,0.75,0.421875
24956.0,8580.0,18.0,Female,1.0,0.6875
23131.0,8325.0,19.0,Female,0.859375,0.3125
20881.0,7610.0,23.0,Female,0.855094726062468,0.6666666666666666
24597.0,8552.0,22.0,Female,0.9375,0.796875
17979.0,6614.0,20.0,Female,0.90625,0.5411706349206349
18733.0,5893.0,21.0,Female,0.6256265664160401,0.264049955396967
24359.0,8281.0,18.0,Female,0.921875,0.5877976190476191
17814.0,148.0,12.0,Male,0.734375,0.109375
24950.0,8635.0,16.0,Female,0.890625,0.390625
18780.0,3077.0,20.0,Female,0.890625,0.640625
22419.0,8301.0,21.0,Female,0.9375,0.703125
17842.0,2986.0,19.0,Female,0.8120039682539683,0.7382253447827218
18401.0,5285.0,11.0,Male,0.7619047619047619,0.19406041986687148
22385.0,8294.0,21.0,Female,0.873015873015873,0.609375
25655.0,1687.0,23.0,Female,0.011982570806100212,-0.09465855307640292
24868.0,606.0,14.0,Female,0.8125,0.671875
20815.0,7791.0,12.0,Male,0.4761904761904762,0.32539682539682535
24180.0,8155.0,23.0,Male,0.2455357142857143,0.16538658474142348
18472.0,4704.0,20.0,Male,0.90625,0.625
22185.0,2661.0,21.0,Female,0.71875,0.375
24172.0,8194.0,13.0,Female,0.921875,0.33556547619047616
25303.0,8630.0,15.0,Female,0.765625,0.2805059523809524
17362.0,230.0,14.0,Female,0.6828893442622951,0.23757481134530314
20871.0,7912.0,21.0,Female,0.90625,0.609375
24859.0,1902.0,12.0,Female,0.875,0.5327620967741935
25268.0,8673.0,22.0,Female,0.9208333333333333,0.4145833333333333
27938.0,8778.0,17.0,Female,0.43830005120327703,0.16589861751152074
18512.0,4294.0,23.0,Female,0.65625,0.46081349206349204
18388.0,5108.0,13.0,Male,0.875,0.5416666666666666
18522.0,2541.0,24.0,Female,0.90625,0.09375
22261.0,134.0,24.0,Female,0.8278769841269841,0.890625
17349.0,231.0,13.0,Female,0.5446428571428572,0.16939484126984128
24171.0,8193.0,15.0,Female,0.8125,0.7311507936507936
23130.0,8344.0,19.0,Female,0.8571428571428571,0.609375
25315.0,8557.0,19.0,Male,0.5,0.28125
17821.0,2613.0,13.0,Male,0.7336309523809523,0.2787698412698413
24185.0,8123.0,22.0,Male,0.296875,0.06754032258064513
25329.0,8735.0,23.0,Male,0.21875,-0.11929563492063494
25314.0,8564.0,24.0,Female,0.921875,0.6510416666666666
17963.0,6630.0,17.0,Male,0.43548387096774194,0.3001057641459545
18393.0,4448.0,13.0,Female,0.953125,0.667906746031746
18528.0,4029.0,25.0,Female,0.59375,0.609375
24957.0,8642.0,24.0,Female,0.921875,0.3333333333333333
20829.0,7422.0,16.0,Male,0.8586309523809523,0.6393849206349207
18451.0,6034.0,16.0,Female,0.9208829365079365,0.5
24815.0,6523.0,14.0,Female,0.8810062182023741,0.1879866518353726
21767.0,5624.0,22.0,Female,0.90625,0.125
22394.0,8305.0,19.0,Female,0.96875,0.18601190476190477
22508.0,6235.0,21.0,Female,0.8125,0.421875
18000.0,6464.0,24.0,Female,0.796875,0.7475198412698413
24963.0,8657.0,25.0,Male,0.796875,0.703125
18176.0,229.0,13.0,Female,0.921875,0.234375
22165.0,7518.0,19.0,Male,0.7780257936507936,0.1875
17544.0,837.0,25.0,Male,0.78125,0.421875
31032.0,8977.0,15.0,Male,0.90625,0.640625
18803.0,4890.0,24.0,Female,0.90625,0.5625
18447.0,2599.0,16.0,Female,0.53125,0.34375
17954.0,6703.0,14.0,Male,0.921875,0.390625
22194.0,3165.0,21.0,Female,0.6318484383000511,-0.015873015873015872
18502.0,4586.0,22.0,Female,0.8747519841269842,0.5307539682539683
18382.0,6519.0,14.0,Male,0.78125,0.6530257936507936
17510.0,3739.0,19.0,Female,0.921875,0.546875
24853.0,712.0,23.0,Female,0.96875,0.40625
22180.0,7105.0,20.0,Female,0.703125,0.5567956349206349
18860.0,6875.0,25.0,Female,0.875,0.328125
24962.0,8629.0,21.0,Male,0.8258928571428571,0.40625
18685.0,2653.0,21.0,Female,0.875,0.40625
17956.0,6253.0,15.0,Male,0.7624007936507936,0.4290674603174603
24603.0,7157.0,19.0,Female,0.75,0.7497519841269842
23118.0,8387.0,14.0,Male,0.7805059523809523,0.07514880952380953
17955.0,6642.0,15.0,Male,0.8125,0.46726190476190477
20888.0,7423.0,13.0,Other,0.43452380952380953,0.2710813492063492
25267.0,8675.0,23.0,Female,0.921875,0.5347782258064516
20866.0,7558.0,20.0,Female,0.96875,0.2544642857142857
22337.0,8148.0,12.0,Male,0.90625,0.05381944444444442
17942.0,6776.0,11.0,Female,0.6825396825396826,0.04340277777777779
,,20.0,Male,,
